SK_ID_CURR,TARGET
100001,0.37
100005,0.37
100013,0.34
100028,0.29
100038,0.43
100042,0.33
100057,0.29
100065,0.32
100066,0.31
100067,0.43
100074,0.47
100090,0.31
100091,0.43
100092,0.4
100106,0.36
100107,0.36
100109,0.39
100117,0.35
100128,0.35
100141,0.37
100150,0.29
100168,0.35
100169,0.38
100170,0.3
100171,0.38
100172,0.37
100184,0.36
100187,0.38
100212,0.35
100222,0.31
100223,0.33
100232,0.34
100241,0.37
100245,0.22
100253,0.4
100256,0.32
100271,0.36
100278,0.46
100280,0.3
100306,0.38
100311,0.47
100312,0.31
100330,0.48
100331,0.31
100352,0.42
100358,0.45
100367,0.31
100382,0.48
100384,0.3
100385,0.44
100386,0.39
100399,0.32
100404,0.5
100416,0.37
100422,0.34
100426,0.41
100438,0.28
100444,0.31
100445,0.37
100446,0.42
100447,0.36
100450,0.43
100466,0.39
100483,0.27
100484,0.35
100494,0.25
100510,0.41
100512,0.42
100517,0.26
100548,0.37
100551,0.36
100552,0.42
100553,0.38
100561,0.45
100568,0.42
100569,0.33
100591,0.31
100592,0.28
100602,0.37
100607,0.35
100613,0.44
100617,0.3
100618,0.39
100622,0.41
100625,0.42
100677,0.39
100699,0.31
100702,0.54
100711,0.41
100729,0.4
100740,0.36
100744,0.35
100745,0.27
100747,0.37
100751,0.43
100752,0.34
100753,0.44
100754,0.39
100760,0.39
100762,0.43
100763,0.36
100765,0.35
100770,0.39
100772,0.35
100777,0.33
100791,0.37
100792,0.35
100797,0.34
100823,0.33
100826,0.36
100830,0.44
100836,0.44
100872,0.43
100910,0.39
100913,0.49
100918,0.41
100931,0.31
100952,0.32
100953,0.44
100965,0.45
100970,0.36
100982,0.46
100983,0.43
100984,0.29
100987,0.4
100997,0.27
100998,0.39
101002,0.39
101005,0.35
101008,0.36
101020,0.44
101021,0.32
101024,0.37
101025,0.39
101026,0.39
101031,0.37
101041,0.28
101051,0.26
101055,0.35
101056,0.4
101057,0.32
101064,0.34
101079,0.43
101087,0.37
101090,0.45
101092,0.45
101097,0.42
101099,0.35
101107,0.35
101118,0.34
101125,0.47
101126,0.34
101128,0.35
101136,0.45
101140,0.41
101149,0.42
101160,0.38
101169,0.46
101181,0.41
101186,0.32
101190,0.45
101193,0.42
101194,0.33
101198,0.47
101200,0.37
101204,0.38
101211,0.44
101213,0.4
101223,0.27
101225,0.48
101237,0.44
101243,0.32
101244,0.4
101258,0.35
101259,0.43
101268,0.38
101269,0.31
101271,0.49
101279,0.38
101281,0.45
101287,0.25
101292,0.35
101294,0.36
101296,0.37
101297,0.32
101299,0.41
101301,0.34
101305,0.41
101308,0.47
101318,0.31
101327,0.48
101329,0.33
101332,0.46
101337,0.31
101343,0.27
101345,0.28
101346,0.29
101353,0.39
101354,0.4
101355,0.41
101356,0.37
101362,0.42
101363,0.43
101365,0.32
101366,0.34
101367,0.39
101368,0.31
101374,0.34
101380,0.37
101383,0.4
101398,0.3
101399,0.4
101401,0.36
101412,0.36
101426,0.46
101427,0.42
101428,0.4
101429,0.36
101434,0.31
101440,0.4
101448,0.47
101449,0.39
101465,0.28
101467,0.34
101472,0.39
101478,0.38
101497,0.42
101504,0.48
101547,0.36
101548,0.4
101555,0.36
101570,0.31
101572,0.4
101578,0.32
101580,0.46
101588,0.35
101602,0.35
101610,0.44
101614,0.34
101616,0.33
101643,0.49
101644,0.31
101649,0.42
101650,0.26
101665,0.36
101667,0.29
101669,0.39
101674,0.37
101675,0.3
101678,0.42
101682,0.37
101686,0.46
101697,0.43
101700,0.45
101711,0.29
101714,0.34
101715,0.42
101728,0.4
101732,0.42
101757,0.4
101758,0.36
101759,0.35
101762,0.31
101764,0.36
101780,0.43
101784,0.36
101789,0.33
101816,0.35
101819,0.24
101827,0.34
101863,0.39
101867,0.32
101870,0.32
101873,0.43
101878,0.39
101879,0.34
101880,0.29
101887,0.27
101897,0.36
101901,0.36
101903,0.48
101920,0.3
101921,0.42
101922,0.42
101961,0.31
101962,0.36
101971,0.36
101976,0.33
102002,0.36
102005,0.29
102007,0.45
102017,0.37
102019,0.4
102029,0.36
102051,0.4
102052,0.33
102054,0.32
102062,0.36
102067,0.38
102068,0.44
102070,0.33
102090,0.36
102092,0.41
102099,0.4
102100,0.41
102112,0.34
102113,0.33
102122,0.41
102123,0.38
102125,0.3
102126,0.39
102146,0.38
102147,0.48
102151,0.38
102158,0.39
102159,0.32
102162,0.48
102165,0.3
102166,0.4
102174,0.32
102193,0.37
102198,0.29
102205,0.44
102206,0.33
102218,0.31
102221,0.4
102230,0.38
102238,0.26
102248,0.33
102252,0.37
102259,0.38
102262,0.41
102273,0.35
102286,0.42
102293,0.31
102294,0.29
102296,0.34
102298,0.38
102303,0.35
102309,0.37
102315,0.28
102340,0.3
102342,0.38
102344,0.45
102346,0.36
102347,0.37
102374,0.35
102380,0.34
102387,0.32
102393,0.31
102403,0.33
102413,0.35
102414,0.33
102415,0.31
102416,0.33
102439,0.33
102441,0.35
102443,0.28
102444,0.33
102445,0.4
102448,0.37
102449,0.41
102450,0.37
102456,0.24
102458,0.4
102459,0.33
102465,0.35
102470,0.42
102471,0.38
102475,0.33
102476,0.43
102506,0.41
102509,0.41
102519,0.38
102522,0.39
102545,0.36
102549,0.26
102562,0.35
102563,0.24
102568,0.54
102582,0.37
102592,0.34
102597,0.38
102605,0.34
102614,0.35
102617,0.39
102634,0.42
102652,0.3
102655,0.24
102671,0.38
102694,0.36
102701,0.29
102703,0.27
102704,0.35
102713,0.31
102720,0.5
102731,0.36
102733,0.37
102749,0.37
102755,0.32
